feature,band,name,score,has_lexical_evidence,source_excerpt
outdoor,high,Palapas Tacos,1.0,True,"Taco tuesday is fantastic, 2.00 street tacos. There are several different types of meats to choose from on their homemade tortillas . The pinto beans are to die for. Great experience. Shrimp chevice was excellent. --- The tacos at this place was delicious.The tortillas are the corn kind so you really get that good taste. The mulitas were great and cheesy. And the burrito was delicious I totally would come back here again --- Update- food is still awesome, but place is dirty. The bathroom unavail"
outdoor,high,Azuls Taco House Downtown,1.0,True,"Our favorite taco place with cider and beer right next door. --- This was literally just said... but the food was so good... I didn’t have time to take a picture! Maybe it was also the fact that I was starving (45 min wait).. but we took that time to stroll the waterfront park. (4 stars is for the wait). Cudos to this place for their large tacos, and the carne asada was tender and not chewy. I also loved the La Familiar Cider they had from their building sharing neighbor. It was delicious and ea"
outdoor,high,Texas Spice,1.0,True,"Texas Spice was a surprisingly good experience for being a restaurant in a hotel (Omni). The service was excellent and the space beautiful. It's HUGE and can host a group of any size. There's plenty of seating inside, several bars, and a massive outdoor patio. The drink list is great as is the wine list. The food was good too. It's Texas food so it's not very healthy for you, but it was tasty especially the short ribs. --- This sets a new standard for hotel restaurants especially given the relat"
outdoor,high,Chipotle Mexican Grill,1.0,True,"Good place, location is perfect- very close to the ocean, and it is Santa Monica 😎 … --- they say it is the best and coming from SG where our equivalent is Guzman, this is the real deal. --- Recommended for a quick meal .. You can easily design your own food .. Great & healthy options .. Average experience .. --- Can't go.wrong here! Make sure to use the app to get rewards. Clean restaraunt. You do need to show proof of vaccination to eat inside. Good location to the Grove area and a good option"
outdoor,high,The Factory 380,1.0,True,"Decent happy hour specials depending on the day. Okay pizza. Service is alright but a bit overwhelming for my taste. --- Bartenders and staff were excellent. The crowd was horrible. Rude people bumping into each other, acting childish and entitled. Hopefully I was there on a bad night. --- Very cute spot for food and drinks with friends. My steak and eggs were both overcooked. I would definitely come here for a fun vibe with friends, but you probably won't be too impressed with the food. --- Thi"
outdoor,low,Irish Rose Saloon,0.0,False,"This old time saloon in our neighborhood is popular, especially on the weekends. No food is served here, but it’s okay to bring your own snacks or pizzas. We stopped by to watch the Super Bowl after we were turned away by 4 separate restaurants or bars because they’ve reached beyond capacity. Waikiki Brewing Company that couldn’t attract enough patrons on any given night, but on Super Bowl Sunday, not only it was full, it was even charging $100 minimum spending per person. Good thing I remembere"
outdoor,low,CLOSED,0.0,False,"Great cheesesteaks here. They have with wiz and without. You can get chicken or beef. Go with the beef. --- Came here for the first time and had a solid turkey sandwhich Lenny’s way. The bread was really soft and perfect for someone that has a hard time with tougher breads. The philly cheesecake salad was also exceptional and had good flavor. --- Love Lenny's!! Lenny's always has fresh, quality food at a decent price - especially when compared to these other sandwich shops. I guess my only compl"
outdoor,low,Panda Express,0.0,False,"It’s Panda Express. Simple, affordable and tasty not much else to say. Was really satisfied with the soda though. --- I stopped by Panda Express and decided to try the new Cantonese BBQ Brisket as part of a combo plate. To be honest, I’m not entirely sure what makes it “Cantonese” because the flavor reminded me much more of American-style barbecue than anything else. That said, the brisket itself was surprisingly good. It was tender, flavorful, and didn’t have the dryness that can sometimes come"
outdoor,low,Noglu,0.0,False,"I adore this place. Great gf food, just like in Paris. Small upstairs to sit and eat. Not cheap, but exceptional value. Definitely worth a visit. Close to Central Park and the Guggenheim. --- We were walking back down to midtown after meeting friends on 103rd street. We noticed this bakery cafe on the corner and went in. It was quite busy but we found a nice inside table. We ordered an Americano coffee and a blueberry scone. Coffee was excellent but the scone was missing something. Later we disc"
outdoor,low,Casa Latin Café,0.0,False,"Too much salt in the soup The cook was in the bad mood probably. --- I LOVE, LOVE, LOVE ❤️ this place. We stopped by mistake, decided to get in and honestly the best decision ever. Food is amazing, all natural, all very tasteful, rich in flavors. We ordered two centroamerican breakfast and everything was delicious. The attention of Ivon was A-plus. No complaints, she was sweet, attentive, on top of what we needed. The ambiance was good, music was not loud so we could actually talk among each oth"
value,high,Pho Ever Hoboken,1.0,False,"My girlfriend recently became a fan of Pho which I have been for many years I convinced her to try this restaurant based on all the good reviews that it had. We stopped in for a quick lunch as we are going out to eat later on this evening. We got the house special the beef Pho and it was the best Pho we've ever had! --- Great food, cute place - went here with my girlfriends and def a spot we will come back to in the future! Great pho, we liked the spring rolls and the sauces were great (and seem"
value,high,Jefe's Kitchen,1.0,False,"Great food !! Heard about it thru a recommendation and they were right ! --- Great tacos, great service, great staff. Never disappointed at jefes kitchen. Owner is a great guy he’s a young man working up the food industry!!"
value,high,Welcome Chili,0.9,True,"Only one chef on the line. Very kind, but was scolded for ""you have to call in first"". Otherwise a great corner Chinese spot. **update 6/2024** I called in my order as advised by the staff. Still got reprimanded.i was the only customer. They got the order wrong, food noticeably under portioned, and took 30 min for a stir fry and dumplings. And the attitude given by the staff all around, as if i was an inconvenience. --- 3.5 stars—Pretty good but not great. We were trying to find a closer Szechua"
value,high,Kung Fu Tea,0.8,False,"My favorite chain of Bubble tea places aside from Tiger sugar but kung Fu never disappoints and the fact that they opened one in Howard beach is great. Love all the new options, the fact that they use lactaid milk and the staff was friendly and efficient. Will keep coming when I’m in town. --- Update- Great service and warm cozy atmosphere. I purchased the passion fruit slush w/ mango bubble and my usual macchiato w/ coffee bubble. I enjoyed both! A spacious establishment with a variety of drink"
value,high,Boogie Down Grind,1.0,True,"Small room, shelf with book-crossing books, pastries, coffee, brick walls with hanging arts. Pretty atmospheric but coffee itself not the best. But good try South Bronx, good try. --- Cool spot. I got to perform in front of this location with Bronx 12 news. It was a lot of fun. Owner was very nice. --- Great coffee joint in Hunts Point ! Lots of espresso drink options . I had a cheddar scone and a tumeric anti- inflammatory latte. The staff was so super friendly and I love the urban vibe and dec"
value,low,Papi's Tacos,0.0,True,They came through with the correct order but everything I ordered was horrible (2 vege tacos 2 chicken tacos 2 quesadillas wasn't crispy and chicken nacho ) and all of that came up to be $29.28. I'm really disappointed and want my money back --- I've always liked the food. Unfortunately their delivery drivers will no longer get out of their vehicles. Makes it pointless to order delivery when you can't get it delivered. --- I have no idea why anyone would rate papi's tacos so low. Anyone I take h
value,low,Altitude Burgers,0.0,True,"It is a cafeteria style with burgers, chicken sandwiches, fries, onion rings, and sold chili, mozzarella sticks as additional sides, and had kids meal. Had one cashier which created the line to back up, food sat under heat lamps forever, and made food cool, then waited in line for cashier, I paid cash, but it took 5 min to pay since the wi-fi went down and then had to reset. Seating outside was ok, but the tables were not cleaned. $$$ our meal was $57 and was not that good, cold food. Would not "
value,low,Subway,0.2,True,This is the only subway I've walked out of. I ordered a spicy Italian and the staff member was only putting on half of the correct amount of meat. I questioned her on it and she assured me it was correct. I asked for the manager who also insisted that the half portion of meat being presented was the correct amount. I go to subway a lot. I go way more than a healthy person should and regularly visit different locations like an alcoholic does liquor stores. I always get the same thing and know how
value,low,Chipotle Mexican Grill,0.0,True,"Unfortunately, my experience here was very disappointing. The staff were unfriendly and inattentive, and the overall service felt careless. The food seemed old and unappealing, which made the meal unenjoyable. The restaurant itself was poorly maintained, with messy tables throughout and no napkins available anywhere. It gave the impression of a lack of effort and attention to basic cleanliness. Overall, this was not a pleasant experience, and I would not return or recommend this restaurant to ot"
value,low,McDonald's,0.0,False,"This McDonald's is one of the most efficient and quality of available food and beverage. Dining associate is always attentive to cleaniness in the dining area. There appears to be a haven for the unsheltered population, they are very good with allowing someone in need to occupy space. They have clean bathrooms and offer courtesy cups. Service Animal Friendly --- I am writing to report an issue I experienced at your McDonald’s location on Duke Street in Alexandria, VA during an Uber Eats delivery"
service_sentiment,high,Carmel's Kitchen & Bar,0.9,True,"Had a nice lunch? The BLT was really good. People next to us had the corn bread and tomato soup they said was fantastic. Quick seating, but the server just seemed a bit off. --- We came to Carmel’s Kitchen & Bar on a Saturday morning for brunch and had a memorable experience, not just because of the food but also due to the resilience of the staff. Many restaurants in Asheville are still recovering from the recent rare hurricane that swept through the area, and Carmel’s was no exception. We lear"
service_sentiment,high,Mix típico restaurant,1.0,True,"The pupusas here are absolutely delicious! Highly recommend this place for authentic and flavorful pupusas. I have not tried other foods but can’t wait to. --- The food was delicious and the atmosphere was spectacular; a great place to share with family. --- It's a super good place, I recommend it 100 percent, the food is very good and the staff is super friendly."
service_sentiment,high,Raw Omakase DC,1.0,True,"Absolutely epic omakase experience, highlighted by the culinary creativity and warm charm of the bright young star Chef Johnny and the warm hospitality of Jenis who attended to us throughout the entire 3 hour experience. We had a great crowd with us for our intimate 815pm seating, and felt like we bonded together throughout our shared journey. The superlative sake we chose helped too! Really great experience, can't wait to return. --- A delightful experience. We ate here for my friend's 30th bir"
service_sentiment,high,Schwartz's Kosher Deli,1.0,True,"If you want the best Kosher Ruben sandwich look no further than Schwartz's. It is in the great area of Pico/Robinson, which is know for great Kosher food and markets. It used to be an almost all Jewish area, but others have moved in, but the great places remain. Schwartz's is one of them. They have great food, but our favorite is their Ruben. It can't be beat. They are made to order and are always fresh. We eat there as much as we can, but this time we did take away. It was wonderful. We love to"
service_sentiment,high,Chef Fei,1.0,True,"Really enjoyed my first visit to Chef Fei! The food was delicious, flavorful, and tasted really fresh. The open kitchen was a nice touch too. The restaurant is clean, beautiful, and has a great atmosphere. Service was friendly and attentive as well. Love the location at Westfield UTC — perfect for dinner and then walking around and shopping. Definitely coming back! --- So excited for Chef Fei’s first North American location! Super sleek space, staff are so sweet greeting you. Wok‑hei hits hard. "
service_sentiment,low,La Tierra Del Caribe Restaurant,0.0,True,"Racially profiled.... I ask for mofongo she went to the back and asked the lady can she make it, then the lady asked who want it. The lady said some black dude (in Spanish) and didn't wanna make it for me. They didn't know I spoke Spanish cause I'm darkskin... --- The food was disgusting and I paid $34 and could not take it back because it was Uber eats. Food sucks! --- Not good at all they have me what appeared to be old chicken hard rice just nasty food in my experience trashed the food and ha"
service_sentiment,low,Subway,0.0,True,"I got an Italian sandwich here while waiting to transfer to a train. The sandwich was fairly mediocre, and the bread in particular was unpleasant. There isn't any place to sit, so you have to eat at one of the standing tables. --- Very delicious Subway sandwich club sandwiches bacon sandwiches pastrami sandwiches. --- Good location. I always stop in when I transfer between trains. Great staff and food. I highly recommend this Subway. --- Staff was super rude for no reason. Never had such bad ser"
service_sentiment,low,Fatina's Kitchen,0.0,True,"Great experience for individual eating and for group events. Authentic Mediterranean food. --- Excellent food and service, with a friendly atmosphere. --- The owner lady, Fatina is rude ,lacks customer service skills and arrogant. I did tell her I will post my experience with your poor service and she told me “go ahead” and didn’t make any effort to correct her mistake and kept arguing with me. I placed an order for my guests 3 days ago and made some changes and as I was getting ready to go pick"
service_sentiment,low,Burattino,0.0,False,No update on opening . Maybe it’s not going to happen after all. --- Can't wait for this one to open. I have to drive an hour to the others locations to get the best pizza on the west coast. It's like the old mervyns commercial with us waiting outside saying open open open. Looking forward to it. --- Until it opens I’ll still drive an hour away. Last time I checked they are waiting on city permits. Which can take FOREVER! I can’t wait for this to open and be so close’ --- It's a lie it's never g
service_sentiment,low,Da Ge Xiao Chi,0.0,False,"The taste is good, better than Changle🌝🌝but the portion is too large and I can't finish it … --- It had absolutely no flavor, it was awful! Three dishes and a soup, but no rice 😫😖 …"
service_speed,high,El Encanto Restaurant,1.0,False,"Place has good food, not a great part of town. And never has consistency on food menu. Pretty loud in there lol but food was good prices are not terrible for individual. Don’t see any family meals yet! I would travel to eat here though just a block spot --- The best in town, food is always fresh and tasty with lots of flavor. Highly recommend --- The best, super humble place, and the best part is the amazing food. --- Is a great place but the price way to high the food is great 👍 she was very ni"
service_speed,high,Pizza Napoli,1.0,True,"Great place for a slice. The pizza was delicious. There is some seating for a quick bite. --- Great calm place with big choice of pizza. Hungry? Come over, delicious and authentic. --- Service was friendly and quick! Twice sliced I specifically got were a little bland, but their margarita pizza was great! --- We were looking for a quick meal, and it was pouring rain outside. The pizza was delicious and very fresh. Totally recommend this place for an authentic slice of NY pizza. --- Yummy. Best p"
service_speed,high,Dylan Murphy's,0.75,False,"It's a sports bar on the UES. Not much else to say. Reasonable prices, so-so selection of beers. Narrow inside but cozy. --- Not the biggest bar in the city, but it's good none the less. Attentive bartenders with a great memory and very friendly demeanor the entire night. Check it out when you're in the area. One of the least obnoxious bar crowds in this neck of … --- This is an excellent unpretentious wonderful Irish Pub. Joyful happy hour. They never play the music too loud.. lady named Gemma "
service_speed,high,TeaDo (NEU/Fenway),1.0,True,"Genuinely impressed. This ma&pa tea shop is much better than I expected. Decent boba tea options, but what’s really good is the fresh onigiri. Was definitely surprised by that. Will come back. --- I was disappointed when I got my drink here. I got a jasmine milk tea with tapioca. Every time I drink it, the taste got worse and worse, and the aftertaste was not good as well. The people in there were really nice, but the drink itself was not as good. Jasmine milk, tea 3/10 --- Short walk from North"
service_speed,high,Little Jimmy's Deli,1.0,True,"This place is the hot zone, plenty of people come here to eat and the food is fresh and delicious. The service is fast and reliable with excellent customer service. The deli is clean and open concept kitchen. Food is delicious and priced well. Just walk in, grab a form and fill in what you want on your salad or salad from the options. Then pay and within 5-7 min, your food is ready. They are quick! Highly recommend. All day breakfast tacos, omelette, toasted, bagel, hash and other breakfast item"
service_speed,low,Restaurant Guy Savoy,0.0,True,"Great flavors here. It can be a 1.5 hour dinner if needed, depending on how quickly you eat. Thought the mains weren’t going to fill me up but the dessert cart is where I got satisfied. I recommend visiting --- Awesome low-key dining in Vegas. Impeccable service. Staff are friendly, attentive, but not fussy. We had the six course Forbes tasting menu. Exquisite. --- The tasting menu here is a real treat, add in a nice wine pairing and you're well on your way to flavortown (term taken from another"
service_speed,low,TU SUPITE FRITURA DOMINICANA & BAKERY,0.0,True,I paid $36.00 For a 6 piece chicken combo and a ham & cheese sandwich 🥪 🤯🤯🤯🤯 The chicken tasted like raw fried chicken 🐔 Not even salt👎🏻👎🏻👎🏻👎🏻 They put Luke 10 pieces of French fries in the box It wasn't worth $10.00 All together but got charged $36 That's atm robbery without a gun.... Never again And I Been warning ⚠ everyone don't even think about that place it's not worth the miney ir the food 💯💯👎🏻👎🏻👎🏻👎🏻👎🏻 --- Excellente service and great food! Thanks for assisting me with ordering a cake. --
service_speed,low,Yan Zhong Restaurant,0.0,False,Can't see behind the counter. Not the most friendliest Chinese restaurant or owners. --- The food was okay.the only thing I didn't like is my food say on the counter until I asked for it instead of them telling me it was done. --- This place is so disgusting the old man is rude I am calling the city nice were spotted in kitchen while food was being cooked guys did not wash hands while preparing the food. --- Went to grand opening the place is clean people that work there were friendly not a wide
service_speed,low,7-Eleven,0.0,True,"RUDE CASHIER!!! The customer service is awful. The cashier gave me an attitude because I used a cup to try a sample size of the slurpee and when it was too sweet, I got a Big Gulp instead. He charged me for the cup and said it wasn’t free. Keep in mind I purchased gas and another drink and he still gave me an attitude. I was disgusted how aggressive and rude he was! I will never come back here. --- This location is so dirty from the store to the car wash. You find homeless people sleeping in the"
service_speed,low,Yoshinoya,0.0,True,original beef bowl is pretty much same taste and quality in Yoshinoya in Japan. very good and compatitive price. I loved it. --- TERRIBLE service un clean restaurant no slip warnings for disabled customers fountain needs to be cleaned day dreaming cashier it's just a bad place to eat it ate. It was once good but now no go. Try the drive thru. Maybe they are awake lol --- I love yoshinoya but this store in particular consistently messes up the order. This the 4th time I paid extra to get an XL bo
